,Input,Output
"
859,What is often made of wood that provides shelter to people?,"	houses
"
860,How many murderers in Nevada were given a capital sentence?,"	6
"
861,What was the date of the final ruling?,"	29 June 2009
"
862,Which game console had a full-gore version of Mortal Kombat?,"	Genesis
"
863,Who did Sprague work for early in his career?,"	Thomas Edison
"
864,What did Armenia declare a cease-fire to in 1994?,"	Nagorno-Karabakh conflict
"
865,What countries are recognized as Nuclear Weapons States?,"	China, France, Russia, the United Kingdom and the United States
"
866,What is to the south of the Sahara?,"	Sahel
"
867,What year was NHK Color created?,"	1972
"
868,Who is featured in the mosaic at the Martorana church?,"	Christ
"
869,How many students receive some form of financial aid?,"	up to a third
"
870,What is a reason for one negative connotation of the term?,"	an area or region is perceived to be under excessive American cultural or military influence or control
"
871,What is regularly moulted?,"	Plumage
"
872,What is an entrenched constitutional principle in Germany?,"	Federalism
"
873,"what did ""Love Can't Turn Around"" peak at in the UK charts?","	#10
"
874,Where did Baptist missionaries take an active role in the anti-slavery movement?,"	the Caribbean
"
875,What market primarily uses ammonia production?,"	the fertilizer market
"
876,"In what year was the hierarchy of latria, hyperdulia and dulia established?","	787
"
877,What is something that may alter the intended meaning of a message?,"	different regional traditions
"
878,Which of the entrails was especially important to augury?,"	liver
"
879,When did John initiate a new round of appointments?,"	1194
"
880,What is one of the most famous sporting events in the city?,"	the Boston Marathon
"
881,What kind of Armenian religious music is prevalent?,"	the Armenian chant
"
882,"Besides new cotton fibers, what type of fibers can be used to make cotton products?","	recycled or recovered cotton
"
883,what years was the club The warehouse open?,"	1977 to 1983
"
884,How did medieval scholars view the Genesis creation story?,"	allegorically
"
885,Which side did the Ottoman Empire join in World War 1?,"	Central Powers
"
886,Who organized the friendly match between the English and Chilean Everton football clubs in 2010?,"	The Ruleteros Society
"
887,What is the basic SI unit of measurement?,"	candela (cd)
"
888,Who aided Jefferson in designing the Virginia State Capitol?,"	Charles-Louis Clérisseau
"
889,What happens if a vinyl comes with a bit of warp?,"	A small degree of warp was common,
"
890,In 1678 what was  the new name of the Northern part of New Haven?,"	Hamden
"
891,How many votes did Buhari get?,"	12,214,853
"
892,"In 2011, what percentage of Dutch adults spoke Frisian?","	44%
"
893,Who argued that scholars in the Middle Ages were rarely coerced by the Church?,"	David Lindberg
"
894,How much was the initial principal of the Permanent Fund?,"	$734,000
"
895,What magazine broke the story of Paul VI pending saint hood?,"	Credere
"
896,What is 16-bit support intended for?,"	CPUs compatible with x86 2nd generation
"
897,Which province is Zhejiang bordered by to the northwest?,"	Anhui
"
898,"In Later Han, which Mount did control of the area return to the settlement below?","	Kuaiji
"
899,What maintains a historical understanding of jewish Identity?,"	Orthodox Judaism
"
900,How are tags assigned if there are more hunters than game?,"	by lottery
"
901,Which two nations are the central plains divided in?,"	Canadian and a United States
"
902,Which ocean decreased in size with the movement of Baltica in the Ordovician?,"	Iapetus Ocean
"
903,Which families financed the wars of kings?,"	the Fuggers in Germany, the Medicis in Italy, the de la Poles in England
"
904,"Along with Lamin Khalifah Fhimah, who was suspected of the attack on Pan Am Flight 103?","	Abdelbaset al-Megrahi
"
905,Which of Tito's grandchildren is a cardiologist and writer?,"	Svetlana Broz
"
906,The collapse of the Angevin Empire contributed to the growth in power of what dynasty?,"	Capetian
"
907,Is the public given incentive to report Endangered Species Act violations?,"	A reward will be paid to any person who furnishes information which leads to an arrest, conviction, or revocation of a license
"
908,What person is Saint Helena Island named after?,"	Helena of Constantinople
"
909,How large is the Bronx?,"	42 square miles (109 km2)
"
910,What type of films did Spielberg find early success with?,"	y science-fiction and adventure
"
911,What kind of locomotion is seen in stick insects?,"	sedate
"
912,What large company moved its headquarters to South Lake Union in Seattle?,"	Amazon.com
"
913,What is the definition of Karma from Sanskrit?,"	action, work
"
914,Do apex predators generally have a large or small population?,"	small
"
915,What was the Manhattanville Bus Depot formerly known as?,"	132nd Street Bus Depot
"
916,How much of the economy was not controlled by Nassir's government?,"	two-thirds
"
917,Which direction of pass causes play to stop when it is not caught?,"	forward
"
918,What is the speed limit for third rail system trains?,"	160 km/h
"
919,Which university is located in the Furniture district?,"	Oklahoma State University
"
920,Which model suggests that matter is 5% of the universe?,"	Lambda-CDM model
"
921,How long is the AFL regular season?,"	18-week
"
922,How many nations receive the Idol broadcast?,"	over 100
"
923,Who escaped Victoria's guards after attempting to fire a shot at her?,"	John Francis
"
924,What two languages have the possibility for significant mutual intelligibility?,"	Italian and Spanish
"
925,What do Type-A receptacles do on host devices?,"	supply power
"
926,When are grapes first mentioned in the Bible?,"	Genesis 9:20–21
"
927,What shape were the shields of the infantry of Lagash?,"	rectangular
"
928,One of the most important business in which Shell is involved is what?,"	natural gas
"
929,What did Musharraf say he'd combat?,"	Islamic extremism and lawlessness within Pakistan
"
930,Until what year frame did the Gelug exchange gifts with the the Ming?,"	1430s
"
931,What forms are mutually intelligible?,"	Catalan and Valencian
"
932,Who did Apple make Maverick free to?,"	everyone running Snow Leopard or later
"
933,What specific form of bullying did the survey show was most common?,"	verbal
"
934,what was the policy that Universal followed in its early years?,"	""clean picture""
"
935,What were the governments New Policies also called?,"	""Late Qing Reform""
"
936,What parts of reptiles respond to sensory cues?,"	motor centers
"
937,At what time are drivers in New York most likely to experience traffic jams?,"	rush hour
"
938,In what language was the first book of the Bible conceived?,"	Greek
"
939,Why are the Jehovah's Witnesses reluctant to alert authorities to abuse?,"	to protect its ""crime-free"" reputation
"
940,Is DDT 100% guaranteed to work?,"	DDT use is not always effective
"
941,Boyd felt race was based on a specific differentiation of the frequency of what in a population?,"	genes
"
942,How many pavilion are part of New Haven Hospital?,"	four pavilions
"
943,What muscle movements are used for digestion?,"	swallowing and peristalsis
"
944,"In the 2001 general election, The Times declared support for what political party?","	Labour
"
945,Who already had contact over a network of countries ready to offer assistance to the Greeks ?,"	Greek merchant families already had contacts in other countries
"
946,What frequency did the X-Gerat system use?,"	66–77 MHz
"
947,Who was the Foreign Affairs Minister?,"	Manuel Doblado
"
948,What is the term for light radiation in the 4000–400 cm−1 spectrum?,"	the mid-infrared
"
949,"Whithout rotor windings, how must a Hammond clock be started?","	manually
"
950,What needs to be used to reflect light that would otherwise be wasted?,"	mirror-like collector
"
951,What did the FBI use as a source?,"	estimate
"
952,What is the average length of dog pregnancy?,"	63 days
"
953,What is the name of The Oklahoman's website?,"	NewsOK.com
"
954,How many years long was a scientific course under Patrick Dillon at Notre Dame?,"	six years
"
955,What HUB is built into the host controller?,"	the root hub
"
956,What did the OKL insist on maintaining?,"	pressure, or diverting strength, onto industries
"
957,What is the  parts of the trophy? ,"	- the cup itself, plus a lid and a base
"
958,Who was found guilty in 2015?,"	Anthony France
"
959,What is a cirque?,"	The area in which a glacier forms
"
960,Approximately how many residents of Santa Monica rent their property?,"	two-thirds
"
961,Who did the Greek basketball team beat in the 2006 FIBA World Championship?,"	Team USA
"
962,What was the name of the project to change the location of I-40 and make a new entrance to the city?,"	The ""Core-to-Shore"" project
"
963,"Prior to Kennedy v. Louisiana, how many states criminalized child rape?","	three
"
964,What's the name of the Coldplay drummer from Southampton?,"	Will Champion
"
965,What is the oldest county in liberia?,"	Grand Bassa
"
966,Which countries citie-states attempted to gain the protection of Rome?,"	Greek
"
967,In what year were high underwriting standards relaxed?,"	2003
"
968,What kind of research program did Popper call Darwinism?,"	metaphysical
"
969,Which subject did Feynman and Carl both enjoy?,"	Mathematics
"
970,What was the merger of SDP and the Liberals called?,"	Liberal Democrats
"
971,How many households are there in Tucson as of 2010?,"	229,762
"
972,What percentage of Mexico City's population was indigenous in 1921?,"	18.74
"
973,Why did the plane have to land twice before reaching Bermuda?,"	once because of darkness and again to refuel
"
974,How does a sangoma in Swaziland communicate?,"	kubhula
"
975,"What are bare-board tests looking for besides ""opens""?","	""shorts""
"
976,What do some news commentators claim is violated by the restricted immigration proposal?,"	bilateral agreements on the free movement of persons
"
977,In what year was a new type of blue LED produced?,"	2003
"
978,How is the egg in American chop suey prepared?,"	fried
"
979,Is Southampton's crime rate higher or lower than the national average?,"	higher
"
980,What is the goal of the Carnival painters?,"	to paint as many people as you can
"
981,When was the armistice agreement finally signed?,"	27 July 1953
"
982,Which Iranian scientist discovered HbA1c to further treatment and research of diabetes?,"	Samuel Rahbar
"
983,When did Houston suffer an economic decline?,"	late 1980s
"
984,UNFPA is part of what larger U.N. group?,"	United Nations Development Group
"
985,What nationality was George Berkeley?,"	Irish
"
986,When did South Africa impose the apartheid policy on Namibia?,"	1948
"
987,What event occurs on New Year's Eve?,"	First Night
"
988,Were peopel in pre-industrial societies considered to have long or short lifespans?,"	short life expectancy
"
989,"In Army XXI, how many are active in periodic army training?","	120,000
"
990,What kind of AFSC is a JAG?,"	judge advocate general
"
991,Where did Hayek acquire his doctorates?,"	University of Vienna
"
992,"As of January 2013, The Times has a circulation of how many people?","	399,339
"
993,What is an English translation of huda?,"	the guide
"
994,What language can be found used in Kosovo and Albania?,"	Albanian
"
995,What was the first year in which RIBA's Royal Gold Medal was given?,"	1848
"
996,In which areas are the four standard Serbo-Croatian variants spoken?,"	Serbia, Croatia, Montenegro and Bosnia and Herzegovina.
"
997,Who discovered a reaction that induced sleep in dogs?,"	Hermann Emil Fischer and Joseph von Mering
"
998,How is the date typically written in a treaty?,"	its most formal, longest possible form
"
999,"As first citizen, what must the emperor's mores represent?","	traditional
"
1000,"Who performed the song ""Everybody""?","	Tanel Padar and Dave Benton
"
1001,Royal assent is a process of approving a nation's legislative acts by whom?,"	constitutional monarch
"
1002,How many parks are there in the city of Ann Arbor?,"	157
"
1003,What did the large banner say that was along the alternative march route?,"	Free Tibet
"
1004,"When hydrogen gas is in standard temperature and pressure, what form is it considered in>","	normal
"
1005,"In an ethnic sense, Ashkenazi Jews can trace their ancestry to Jews who settled where?","	Central Europe
"
1006,"In spite of sanctions by the international community, how long did the Ian Smith's regime last?","	over a decade
"
1007,What percentage of the European population consisted of monks?,"	less than one per cent
"
1008,Who do abmigrating birds return with?,"	the new population
"
1009,Who in the south were urging their churches to free their slaves in the south?,"	Quaker and Methodist preachers
"
1010,Who ratifies protocols in Armenia?,"	national parliaments
"
1011,For what reason did Prime Minister Passos Coelho justify cutting 30000 jobs?,"	austerity measures are necessary if Portugal seeks to avoid another monetary bailout grant
"
1012,What did the melting of ice on Gondwana add to?,"	a rise in sea levels
"
1013,What does the desert have to overcome?,"	barriers that normally prevent the production of precipitation
"
1014,How long was Rutherford's tenure as president of the Society?,"	twenty-five years
"
1015,Genetic engineering was first discovered in what century?,"	the 21st century,
"
1016,In 1833 at what age was the limit to working in a textile industry factory?,"	children under the age of nine
"
1017,waht was the name of largest ship operating in the Indian ocean?,"	Ganj-i-Sawai,
"
1018,What part of a polychaete can be everted?,"	pharynx
"
1019,Agencies who regulate the environment exists in what regional capacities?,"	state or territorial
"
1020,"What type of infantry joined light, and the cavalry in battle?","	heavy infantry
"
1021,Which species of deer is protected in the British Isles?,"	red deer
"
1022,What is the result of the incorporation of independent kingdoms and sultanates?,"	modern-day Eritrea
"
1023,What species of hardwood are hickory and mulberry trees?,"	ring-porous
"
1024,What marked the start of a new direction for Macintosh?,"	The Macintosh II
"
1025,What is the inclination of the Compass-M1 satellite?,"	55.5 degrees
"
1026,How many sorties a night was Luftflotte 3 doing?,"	250
"
1027,What prophecy was fulfilled by the piercing of Jesus' side?,"	Old Testament prophecy
"
1028,When will Mercy Street first be shown on television?,"	Winter 2016
"
1029,What is the LGBT newspaper called?,"	Seattle Gay News
"
1030,What is a term for a plant with a specific sex per flower?,"	""ovary-inferior""
"
1031,What other part of Gothic buildings are often found terminated with small pinnacles?,"	buttresses
"
1032,Who was the Notre Dame president that preceded John Jenkins?,"	Malloy
"
1033,What form of Buddhism has declined to the point where few are capable of following the path?,"	Pure Land
"
1034,What is the name of a show from Northern Ireland broadcast all over the United Kingdom?,"	Patrick Kielty Almost Live
"
1035,What architecture types does Windows 8 support?,"	32-bit and 64-bit
"
1036,"Which state has started to regulate the word ""nutritionist""?","	Florida
"
1037,With what religious movement do many Puerto Ricans in New Haven associate?,"	Pentecostals
"
1038,Who had not used the term middle east previously in publications?,"	Gordon
"
1039,Where did John march from?,"	Cotswolds
"
1040,What countries utilize strategic bomber aircraft in their missions? ,"	US, Russia, and the People's Republic of China
"
1041,What is an example knowledge being derived from intuition?,"	knowledge of God's existence
"
1042,When did the Bronze Age began in Southeastern Europe?,"	3700–3300 BC
"
1043,Polish nationalists wanted Russian territories in Poland to be joined with which national entity?,"	the Duchy of Warsaw
"
1044,How much money did overseas Nigerians send home in 2007?,"	17.9 billion
"
1045,What is Seattle's percentage of same sex households?,"	2.6
"
1046,UCS chargers will also include what?,"	a 4-star or higher efficiency rating
"
1047,"What processed meat, featured in WEEI-FM's ad slogan, rhymes with Joni?","	baloney
"
1048,Why was the Kulluk oil rig being towed to Washington?,"	to be serviced in preparation for the 2013 drilling season
"
1049,Who initially sued to protect their patent rights?,"	Sisvel S.p.A.
"
1050,With whom did Chopin perform his final concert?,"	Auguste Franchomme
"
1051,Is it more common for panels to have a single design or many designs?,"	a single design
"
1052,How much did the Ukrainians make up in population as a percentage in East Prussia?,"	18.5%
"
1053,"When did the term ""Hispanic"" begin being used?","	the 20th century
"
1054,What program requires an additional two years of study?,"	a doctoral programme
"
1055,What did the Arthasastra say a king must use?,"	brutal measures
"
1056,What year did the Canadian Military operation in Afghanistan start?,"	2002
"
1057,What was John Roll's job title?,"	chief judge for the U.S. District Court for Arizona
"
1058,What was the standard material for discs around 1895?,"	a shellac-based compound
"
1059,What was Frédéric's most likely cause of death?,"	tuberculosis
"
1060,Nociceptors were discovered by studying the common what?,"	fruitfly Drosophila
"
1061,When was Oklahoma's border determined?,"	1890s
"
1062,What other countries were in disagreement with the United Nations decision on Burma ?,"	South Africa
"
1063,What TV network shares a parent with Marvel?,"	ABC
"
1064,Who won the Best Female Artist in Country Music Awards in 2006?,"	Carrie Underwood
"
1065,In what year did the U.S. take control of Lake Eerie?,"	1813
"
1066,Which Epistle details the raising of Jesus?,"	First Epistle to the Corinthians
"
1067,What describes functions having antiderivatives of a prescribed form?,"	differential Galois theory
"
1068,How did Egyptians dye fabrics yellow?,"	saffron
"
1069,Who introduced Albert to Victoria?,"	uncle Leopold
"
1070,How pathogenes interact with it's human host?,"	pathogen has a characteristic spectrum of interactions
"
1071,Who noted that 14th century monks bought books in shops?,"	Janetta Benton
"
1072,After the 19th century about how much of the Greek population resided in little Asia ?,"	By the early 20th century, over half of the overall Greek-speaking population was settled in Asia Minor (now Turkey)
"
1073,What Director does the FBI report to?,"	Director of National Intelligence
"
1074,Whose independent label became a hub for the industrial scene?,"	Throbbing Gristle's
"
1075,What industry is Madison Avenue associated with?,"	advertising
"
1076,In what year did the CBS Corporation begin another CBS Records?,"	2006
"
1077,Until when did the King of Portugal remain in Brazil?,"	until the Liberal Revolution of 1820
"
1078,What did Avicenna write while he was imprisoned?,"	""Floating Man""
"
1079,What mentions taking refuge on behalf of young or unborn children?,"	Majjhima Nikaya
"
1080,What was the name of the 1940 program to send arms to Britain?,"	the Lend-Lease Act
"
1081,How is Selenizza shipped?,"	bags
"
1082,Who adopted the Prussian artillery tactics in 1914?,"	European armies
"
1083,What were the King's South African bodyguards referred as? ,"	the Gestapo
"
1084,Where did an ambulance take Gaddafi after he was murdered?,"	Misrata
"
1085,What other Nintendo systems used MULTI OUT?,"	Nintendo 64 and GameCube
"
1086,Who was largely untouched by external customs?,"	Himachal
"
1087,How many marines were killed in the attack?,"	241
"
1088,What year was Old South Church organized?,"	1669
"
1089,What was the subject of the front page on 22 September 2003?,"	mental health
"
1090,Who started construction on the Gelati Monastery?,"	king David IV
"
1091,What is the population of NYC as of 2014?,"	8,491,079
"
1092,What notable public housing projects are present in the Southside?,"	Hillside Court
"
1093,What did the crowds in Tiananmen Square do after the moment of silence?,"	burst out cheering
"
1094,"Culturally, an Ashkenazi Jew can be identified by what concept?","	Yiddishkeit
"
1095,What did Hitchens think Burke supported preserving?,"	the ancestral and the immemorial
"
1096,Which American Idol contestant was hospitalized after singing during the week of the top nine?,"	David Cook
"
1097,What is the second largest city in Arizona?,"	Tucson
"
1098,How many sides of a disc commonly held a recording?,"	two sides
"
1099,Where is the only existant depiction of Edward's abbey?,"	Bayeux Tapestry
"
1100,What is redlining?,"	a reduction in the real-estate listings and property-related financial services (such as mortgage loans or insurance policies) offered in some areas
"
1101,"By which year, did New York City become the largest city in the United States?","	1790
"
1102,What was the concern about Prussia in Britain?,"	. In Britain, it was speculated that a total Prussian collapse was now imminent.
"
1103,What is the concentration of uranium in sea water?,"	3 parts per billion
"
1104,"Along with community meetings, what was the traditional purpose of country pubs?","	drinking
"
1105,Who wrote 'City Boy: The Adventures of Herbie Bookbinder'?,"	Herman Wouk
"
1106,How many guns or missile launchers are typically in a battery?,"	2 to 12
"
1107,How many U.S. ships were lost at Okinawa?,"	38
"
1108,What does every stpe of digestion require?,"	energy
"
1109,In what year did Napoleon and Czar Alexander first meet?,"	1807
"
1110,What former Arsenal player became manager in 1986?,"	George Graham
"
1111,What are the children of some families in the area of the testing experiencing?,"	children with birth defects and physical and mental handicaps
"
1112,Where was 'War Horse' filmed?,"	England
"
1113,Who did Beyoncé tell in February 2010 that Sasha Fierce was no longer needed?,"	Allure magazine
"
1114,What are the biggest cities in Lancashire?,"	Manchester and Liverpool
"
1115,What was the industry source that produced Seattle's first financial vigor?,"	lumber
"
1116,Who were the leaders of the Federalist and Democratic-Republican parties?,"	Framers Alexander Hamilton and James Madison
"
1117,What two-word phrase is used for the main part of the lungs infected by TB?,"	Ghon focus
"
1118,Who was the Republican presidential candidate in 1964?,"	Barry Goldwater
"
1119,Where is the Taste of Santa Monica held each year?,"	Santa Monica Pier
"
1120,What area has a ski lift?,"	Ski Valley
"
1121,When was importation of slaves banned in Saint Helena?,"	1792
"
1122,What are many Latin American migrants?,"	mestizo, Amerindian, or other mixed race
"
1123,The foreign correspondent who resigned from The Times in 1988 won how many major journalism awards?,"	seven
"
1124,What television network originally aired the show Glee?,"	Fox
"
1125,How many plebeian families had an identical standing as the old aristocratic patrician families?,"	A small number
"
1126,How does the determination between Patois and Creole French usually determined?,"	racially
"
1127,Greece has how much strategic importance?,"	significant
"
1128,What is Grove Street Cemetery famously known for?,"	Egyptian Revival gateway
"
1129,What activities are popular in the mountains of Tucson?,"	cycling, hiking, rock climbing, camping, birding, and wintertime snowboarding and skiing
"
1130,Who noticed in a lab the antibacterial characteristics of mold?,"	Alexander Fleming
"
1131,What does BYU's high rate of enrollment by LDS members result in regarding LDS cultural norms?,"	amplification of
"
1132,What moniker did the Greeks grant themselves for distinction ?,"	The Greek speakers were the only ethnic group to actually call themselves Romioi
"
1133,What political ideology dominated Austrian politics in the decades before the second world war?,"	fascism
"
1134,What did the percentage fall to?,"	8%
"
1135,What types of deities are Bhavani and Durga?,"	Mother Goddesses
"
1136,In what areas were Han ships able to be sailed in part due to the stern rudder?,"	high seas
"
1137,What was the population density of Greater London in 2001?,"	4,542 inhabitants per square kilometre (11,760/sq mi)
"
1138,What percentage of available jobs in Southampton are in wholesale and retail industries?,"	16.2
"
1139,What is the name of Comcast's affiliated political action committee?,"	Comcast Corporation and NBCUniversal Political Action Committee
"
1140,Who are modern mandolinists and composers?,"	Samuel Firstman, Howard Fry, Rudy Cipolla
"
1141,Who separated the neighborhoods in the early 2000's?,"	Downtown Raleigh Alliance
"
1142,The revenues did what under the first 4 years of Watson being president?,"	more than doubled to $9 million
"
1143,Where did Beyonce get her name from?,"	her mother's maiden name
"
1144,How are the King and Queen of J'ouvert chosen?,"	based on their witty political/social messages
"
1145,What video game did Beyoncé back out of?,"	Starpower: Beyoncé
"
1146,How many books were in the Siku Quanshu?,"	3,400 books
"
1147,What year was J. C. Flügel's Psychology of Clothes published?,"	1930
"
1148,In which foreign country did Jeffrey R. Holland open a BYU campus during his presidency?,"	Jerusalem
"
1149,Beyonce's younger sibling also sang with her in what band?,"	Destiny's Child
"
1150,How did John offend the local Irish rulers?,"	making fun of their unfashionable long beards
"
1151,Where was the highest known temperature in Tennessee recorded?,"	Perryville
"
1152,John spent the conflict traveling alongside who?,"	his father
"
1153,What is the noise-based speed?,"	the exposure that will lead to a given signal-to-noise ratio on individual pixels
"
1154,What would the Federal Reserve buy to try and increase money supply?,"	securities
"
1155,When was Kösem murdered?,"	1651
"
1156,Who was Victoria's last surviving uncle?,"	William IV
"
1157,What is the only important factor in hunter-gatherer tool choices?,"	temperature
"
1158,When was the first meteorite found in Antarctica?,"	1912
"
1159,What neighborhood has historic homes?,"	Sam Hughes neighborhood
"
1160,In what language was most of Ibn Sina's works written in?,"	Arabic
"
1161,"What word literally mens ""ancestor?""","	Genetor
"
1162,"To what part of the prey does Richard Dawkins refer to as the ""survival machine""?","	the body
"
1163,What dye was known as the Blood of Saint John?,"	Kermes vermilio
"
1164,What areas do at-large council members represent?,"	entire city
"
1165,What writer visited the Tuvalu Islands in 1890?,"	Robert Louis Stevenson
"
1166,Where did Victoria visit to become more in the public view?,"	Royal Horticultural Society at Kensington
"
1167,What does FLAC stand for?,"	Free Lossless Audio Codec
"
1168,Who established 1 of the first Us settlements in Florida ,"	Don Tristán de Luna y Arellano
"
1169,What type of drugs was Tulisa accused of supplying?,"	Class A drugs
"
1170,Who would the axis powers oppose in the new agreement?,"	Britain and the USA
"
1171,What is an antenna designed to have?,"	purely resistive feedpoint
"
1172,During what century did John Geometres flourish?,"	10th
"
1173,Where did the route begin in Malaysia?,"	Independence Square
"
1174,What 1990s hard rock band had a big stadium rock sound?,"	Stone Temple Pilots
"
1175,What alternate name did Konami use to get around Nintendo's yearly limit?,"	Ultra Games
"
1176,What did Kant describe time as?,"	a priori notion
"
1177,What method was introduced in December 2015 to reduce New Delhi's air pollution?,"	alternate-day travel
"
1178,What airport is Miami Intermodal Center next to?,"	Miami International
"
1179,Who said the US's presence in Iraq increases resentment and terrorists?,"	Shirley Williams
"
1180,Who was modern Greece's first president?,"	Ioannis Kapodistrias
"
1181,How long has a translator's part in bridging values between cultures been discussed?,"	at least since Terence
"
1182,What percent of its stake in Woodside Petroleum did Shell sell in June 2014?,"	9.5%
"
1183,What is a tradition unique to the Creole people?,"	touloulous
"
1184,What is the name of the Duke who pressured Alexander to make peace with Napoleon?,"	Constantine
"
1185,Who created the position of Minister for Coordination of Defence?,"	Stanley Baldwin
"
1186,What is the name of lateral cut disc records?,"	gramophone
"
1187,When was the most prior visit from a Burmese representative to the  United States prior to 2010 ? ,"	the last Burmese leader to visit the White House was Ne Win in September 1966
"
1188,Where are the British Isles located?,"	North Atlantic,
"
1189,What was the playing time common in the early 20th century?,"	two minutes
"
1190,"When did the term ""classical music"" appear? ","	the early 19th century
"
1191,What value did Forbes place on Arsenal in 2015?,"	$1.3 billion
"
1192,What does ICRISTAT stand for?,"	International Crops Research Institute for the Semi-Arid Tropics
"
1193,What is the earliest period the National Art Gallery has pieces from?,"	the Middle Ages
"
1194,ASTP stands for what?,"	Apollo-Soyuz Test Project
"
1195,When did Tito last visit Emperor Selassie?,"	1956
"
1196,What month sees the lowest likelihood of the James flooding?,"	July
"
1197,What is the most popular sport in Germany?,"	Football
"
1198,Where did Houston place for Fortune 500 companies?,"	second
"
1199,What were William Thomson's reasons for disputing Darwin's estimate?,"	calculated that it had cooled in less than 100 million years
"
1200,What ws he known by in the Turkish community?,"	the Turcophile Pope
"
1201,In what year did Paris host the World Cup?,"	2007
"
1202,What did Chinese laborers do after they left that line of work?,"	set up groceries in small towns throughout the South
"
1203,What did Nintendo sue Tengen for?,"	copyright infringement
"
1204,How often does Friday Cheers take place on Brown's Island?,"	weekly
"
1205,What is the largest tagma of an insect?,"	abdomen
"
1206,Who notably appeared in Killing Kennedy?,"	Rob Lowe
"
1207,Who willed Pergamum to the Roman Republic?,"	Attalus III
"
1208,Where were court functions held upon the Queens return to London?,"	Windsor Castle
"
1209,When was the system originally supposed to be released?,"	spring of 1985
"
1210,With what schools does the Washington University School of Law offer joint-degree programs? ,"	Olin Business School, the Graduate School of Arts and Sciences, the School of Medicine, and the School of Social Work
"
1211,In what country other than the U.S. did Bell try to patent his telegraph?,"	Britain
"
1212,Who did the Queen feature in her book that drew so much criticism?,"	John Brown
"
1213,How do ambush predators hunt?,"	sit and wait for prey to approach within striking distance
"
1214,What century were there contrary opinions expressed about the nature of kingship?,"	12th century
"
1215,Which historians wrote early in John's life?,"	Richard of Devizes, William of Newburgh, Roger of Hoveden and Ralph de Diceto
"
1216,In which year did the Synod of Constantinople confirm the veneration of images of Mary?,"	842
"
1217,When did Viking travelers establish a trading post in Cork?,"	some point between 915 and 922
"
1218,Arsphenamine became the first treatment for what previously incurable disease?,"	syphilis
"
1219,What percentage of the population is of the  Rakhine descendant line ?,"	Rakhine people constitute 4% of the population
"
1220,How many overall viewers did the first show of the season generate?,"	37.3 million
"
1221,"What is the literal translation of the word ""schatzi""?","	little treasure
"
1222,What kinds of fish are abundent in the British Isles?,"	salmon, trout, perch and pike
"
1223,What is the frequency of Haplogroup R1a in Ukraine?,"	54%
"
1224,When did other states become part of Mexico?,"	After the Mexican War of Independence from Spain
"
1225,Roule and Om was at the forefront of what type of house music?,"	vocal house
"
1226,What type of diviners did the armies use to determine the will of the gods?,"	public haruspices
"
1227,Researchers at what organization study and develop Interlingua?,"	International Auxiliary Language Association
"
1228,"Along with Ford, what president initially didn't appoint a Chief of Staff but later did?","	Jimmy Carter
"
1229,How many theaters approximately are located in Hanover?,"	40
"
1230,What date was Saint FM radio closed?,"	21 December 2012
"
1231,North carolina state law allowed a jump in alcohol volume from 6% to what percent?,"	15%.
"
1232,How many students were in Tuvalu schools in 2010?,"	1,918
"
1233,Who does Ibn Sina's philosophy owe much to?,"	al-Farabi
"
1234,What modern country contains regions in which Plantagenet kings controlled large domains?,"	modern France
"
1235,When did the Berlin Wall get torn down?,"	1989
"
1236,What did Yaroslav sons achieve  during his time in Keivan Rus?,"	issued its first written legal code
"
1237,When was the coronation of Elizabeth as Queen?,"	2 June 1953
"
1238,In what year was the iPod first introduced?,"	2001
"
1239,What type of plants can be found in some canyons?,"	tropical
"
1240,What party did Sanha belong to?,"	PAIGC (African Party for the Independence of Guinea and Cape Verde)
"
1241,What was the White House stance?,"	the results were clear, the people of Puerto Rico want the issue of status resolved
"
1242,Who was the High Commissioner of the United Nations High Commission for Human Rights?,"	Zeid Ra'ad Al Hussein
"
1243,Is the end of adolescence and beginning of adulthood easily agreed upon or does it vary by country?,"	varies by country
"
1244,How many dictionaries and encyclopedias were published between 1760 and 1769?,"	63
"
1245,More than how many thousand folk religious organisations were registered in Zhejiang in 2015?,"	twenty
"
1246,What do Canadian Rangers perform?,"	provide surveillance and patrol services
"
1247,What did both Weinrich and Weinberg critisize the KInsey scale for?,"	lumping individuals who are different based on different dimensions of sexuality into the same categories.
"
1248,From where does the practice of linking various gods into grouping come?,"	Greek in origin
"
1249,Which singer did Beyoncé portray in Cadillac Records?,"	Etta James
"
1250,What language does the name Oklahoma come from?,"	Choctaw
"
1251,How many square kilometers is PortMiami?,"	2
"
1252,On what date did the league announce its schedule for 2016?,"	December 10, 2015
"
1253,What made identifying House leadership difficult?,"	Internal party disunity
"
1254,What did the cathedral status save the abbey from?,"	destruction
"
1255,What even was recorded in the Guinness World Records?,"	most tweets per second
"
1256,Who was fighting for Tmutarakan following Yarsolav's death?,"	Rostislav Vladimirovich
"
1257,What was Amy Irving's career?,"	actress
"
1258,What was the primary problem with early carbon filaments?,"	as they got hotter, their electrical resistance decreased
"
1259,What are groups other than blacks considered to be?,"	less threatening to whites
"
1260,What music did Debussy play a lot at the Paris Conservatoire?,"	Chopin's
"
1261,How many reef islands does the Tuvalu group have?,"	three
"
1262,"Along with the Voice, what is Richmond's black-oriented news publication?","	Richmond Free Press
